watch_id,brand,collection,reference,jdm_model,serial,diameter_mm,lug_to_lug_mm,thickness_mm,lug_width_mm,case_material,solar,radio_sync,color,auction_price_jpy,auction_price_usd,buyee_platform_jpy,buyee_inspection_jpy,domestic_shipping_jpy,customs_duty_usd,intl_shipping_usd,total_additional_costs_usd,total_labor_hours,total_landed_cost_usd,sale_price_usd,sale_platform,sale_date,shipping_cost_usd,platform_fees_usd,net_profit_usd,is_personal,current_status,notes,created_at,updated_at
554d2af2,Citizen,xC,H060-T023479,ES9364,,24,,7,,Stainless Steel,True,True,Silver/RG,7700,51.33,500,300,800,7.7,21.56,0,0,91.26,,,,,,,False,listed,Ladies eco-drive radio controlled. Happy Flight.,2026-04-09T23:35:01.413194+00:00,2026-04-09T23:41:52.549029+00:00
bf1f1cc8,Seiko,Exceline,1B22-0AG0,,,,,,,Stainless Steel,True,True,,4900,32.67,500,300,230,4.9,13.72,0,0,58.16,,,,,,,False,on_bench,Ladies watch. Diamond markers. Awaiting assembly.,2026-04-09T23:34:53.115852+00:00,2026-04-09T23:41:52.576757+00:00
b468c044,Seiko,Brightz,7B24-0AT0,SAGZ077,,42.6,49,10.2,20,Stainless Steel,True,True,Black,8633,57.55,500,300,185,8.63,8.39,18.65,0,99.79,,,,,,,False,listed,"Was dead on arrival. Replaced MT920 capacitor, brought back to life.",2026-04-09T23:34:31.284281+00:00,2026-04-09T23:41:48.428992+00:00
23fb4d46,Seiko,Harmony,205-1006,,,,,,,,False,False,,24000,160,500,300,0,24,24.8,0,0,214.13,,,,,,,True,on_bench,Deadstock 1962. Will list if Liner arrives to keep as personal instead.,2026-04-09T23:34:46.101208+00:00,2026-04-09T23:48:22.022937+00:00
4d222d0b,Seiko,Spirit,7B42-0AN0,SBTM193,3D0050,38.4,46,10.2,20,Titanium,True,False,Black,7150,47.67,500,300,770,7.15,6.95,0,0,72.24,,,,,,,False,listed,Radio sync works via app with JJY emulator,2026-04-09T20:35:28.484359+00:00,2026-04-09T23:41:48.273631+00:00
408bbd38,Seiko,Brightz,8B82-0AB0,,,,,,,Titanium,True,True,Navy,18100,120.67,500,300,1300,18.1,18.71,0,0,171.48,,,,,,,True,on_bench,Junk/non-working chronograph. Personal project.,2026-04-09T23:34:41.775410+00:00,2026-04-09T23:41:50.537027+00:00
d133fd04,Citizen,xC,H330-T008658,,,,,,,Stainless Steel,True,True,Pink Shell,6551,43.67,500,300,1060,6.55,18.35,0,0,80.97,,,,,,,False,on_bench,Ladies watch. Awaiting replacement part.,2026-04-09T23:34:57.260561+00:00,2026-04-09T23:41:52.612328+00:00
61a73bb1,Seiko,Brightz,7B24-0BH0,SAGZ081,,39,46,8.8,20,Titanium,True,True,Deep Blue,21213,141.42,500,300,1000,21.21,20.61,0,0.66,195.24,,,,,,,False,listed,"Coupon applied. Original bid 23570, paid 21213.",2026-04-09T23:34:27.426711+00:00,2026-04-09T23:51:47.107557+00:00
a1b32b59,Seiko,Brightz,5B21-0AA0,SAGZ001,,38,45,9.8,20,Titanium,True,True,Black,9405,62.7,500,300,990,9.41,9.14,0,0,93.18,,,,,,,True,on_bench,Personal piece. May flip later.,2026-04-09T23:34:18.196100+00:00,2026-04-09T23:41:48.388910+00:00
65cb0fb9,Seiko,Dolce,8J41-6100,,,,,,,Stainless Steel,False,False,,8800,58.67,500,300,0,8.8,8.55,0,0,81.35,,,,,,,True,on_bench,Personal piece.,2026-04-09T23:34:23.366373+00:00,2026-04-09T23:41:48.357075+00:00
