watch_id,brand,collection,reference,jdm_model,serial,diameter_mm,lug_to_lug_mm,thickness_mm,lug_width_mm,case_material,solar,radio_sync,color,auction_price_jpy,auction_price_usd,buyee_platform_jpy,buyee_inspection_jpy,domestic_shipping_jpy,customs_duty_usd,intl_shipping_usd,total_additional_costs_usd,total_labor_hours,total_landed_cost_usd,sale_price_usd,sale_platform,sale_date,shipping_cost_usd,platform_fees_usd,net_profit_usd,is_personal,current_status,notes,created_at,updated_at
554d2af2,Citizen,xC,H060-T023479,ES9364,,24,,7,,Stainless Steel,TRUE,TRUE,Silver/RG,7700,51.33,500,300,800,7.7,21.56,0,0,91.26,,,,,,,FALSE,listed,Ladies eco-drive radio controlled. Happy Flight.,2026-04-09T23:35:01.413194+00:00,2026-04-09T23:41:52.549029+00:00
a5ef04e8,Seiko,Spirit,8T63-00D0,SBTR011,,,,,,Stainless Steel,FALSE,FALSE,Black,15400,101.52,500,300,900,15.23,7.88,0,0,135.84,,,,,,,FALSE,in_transit_us,"Mint condition with box, papers, manual. Quartz chrono.",2026-04-12T03:16:17.125341+00:00,2026-04-13T00:09:08.315321+00:00
995c3d13,Seiko,Brightz,7B24-0BH0,SAGZ081,,39,46,8.8,20,Titanium,TRUE,TRUE,Deep Blue,14000,92.29,500,500,380,13.84,7.16,0,0,122.39,,,,,,,FALSE,in_transit_us,Third unit. Auction ID m1225264645.,2026-04-12T03:16:23.719176+00:00,2026-04-13T00:09:08.255699+00:00
bf1f1cc8,Seiko,Exceline,1B22-0AG0,,,,,,,Stainless Steel,TRUE,TRUE,,4900,32.67,500,300,230,4.9,13.72,33.47,0,91.63,279,eBay,3/23/2026,5.45,44.361,137.559,FALSE,on_bench,Ladies watch. Diamond markers. Awaiting assembly.,2026-04-09T23:34:53.115852+00:00,2026-04-13T00:08:43.562886+00:00
b468c044,Seiko,Brightz,7B24-0AT0,SAGZ077,,42.6,49,10.2,20,Stainless Steel,TRUE,TRUE,Black,8633,57.55,500,300,185,8.63,8.39,18.65,0,99.79,,,,,,,FALSE,listed,"Was dead on arrival. Replaced MT920 capacitor, brought back to life.",2026-04-09T23:34:31.284281+00:00,2026-04-09T23:41:48.428992+00:00
23fb4d46,Seiko,Harmony,205-1006,,,,,,,,FALSE,FALSE,,24000,160,500,300,0,24,24.8,0,0,214.13,345,eBay,3/23/2026,5.45,54.855,70.565,TRUE,on_bench,Deadstock 1962. Will list if Liner arrives to keep as personal instead.,2026-04-09T23:34:46.101208+00:00,2026-04-09T23:48:22.022937+00:00
79cc1c5a,Seiko,Astron,7X52-0AA0,,,,,,,Titanium,TRUE,FALSE,Dark Grey,40500,272.58,300,500,230,40.89,88.04,99,0,507.44,,,,,75.87,290,TRUE,on_bench,"Arrived dead, had to replace capacitor",2026-04-13T01:27:48.038322+00:00,2026-04-13T01:32:34.489289+00:00
1e75068f,Seiko,Lord Matic,5606-8110,,,,,,,Stainless Steel,FALSE,FALSE,,15000,98.88,500,300,880,14.83,7.67,0,0,132.45,,,,,,,TRUE,in_transit_us,Scratched crystal. Running. Pure belt original.,2026-04-12T03:16:16.095593+00:00,2026-04-13T00:09:07.972881+00:00
4dfe016d,Seiko,Liner,unknown,,,,,,,Stainless Steel,FALSE,FALSE,,24800,163.48,500,500,840,24.52,12.68,0,0,212.81,,,,,,,TRUE,in_transit_us,Rare vintage hand-wind. Deadstock. 101% emotional purchase. Decides Harmony fate.,2026-04-12T03:16:22.678277+00:00,2026-04-13T00:09:08.072884+00:00
019a09e2,Seiko,Brightz,7B24-0BH0,SAGZ081,,39,46,8.8,20,Titanium,TRUE,TRUE,Deep Blue,12333,81.3,500,500,350,12.19,6.31,0,0,108.7,,,,,,,FALSE,in_transit_us,Second unit. Auction ID g1224836276.,2026-04-12T03:16:18.048628+00:00,2026-04-13T00:09:07.912928+00:00
55d9bc4f,Seiko,Brightz,7B22-HAB0,,,,,,,Titanium,TRUE,TRUE,Silver,3789,24.98,500,500,930,3.75,1.94,0,0,43.39,,,,,,,FALSE,in_transit_us,JJY only radio sync. Needs emulator for US use.,2026-04-12T03:16:25.088679+00:00,2026-04-13T00:09:08.112874+00:00
9637e4cf,Seiko,Brightz,4S27A,,,,,,,Titanium,FALSE,FALSE,,10651,70.18,0,500,230,10.53,5.45,0,0,90.97,,,,,,,TRUE,in_transit_us,Junk automatic movement only. Long-term personal project.,2026-04-12T03:16:14.044402+00:00,2026-04-13T00:09:08.212886+00:00
8bbe9681,Seiko,Spirit,7T92,SBTQ043,,,,,,Stainless Steel,FALSE,FALSE,Black,13800,90.97,500,500,750,13.65,7.06,0,0,123.22,,,,,,,FALSE,in_transit_us,New old stock. 1/20 sec chrono.,2026-04-12T03:16:21.452763+00:00,2026-04-13T00:09:08.156829+00:00
b96aa3a9,Seiko,Spirit,7N43-7180,,,,,,,Stainless Steel,FALSE,FALSE,White,4600,30.96,300,500,910,4.64,10,0,1,57.11,169,eBay,3/23/2026,5.45,27.27,79.17,FALSE,sold,Sold at eBay,2026-04-13T01:22:55.313767+00:00,2026-04-13T01:32:34.549591+00:00
4d222d0b,Seiko,Spirit,7B42-0AN0,SBTM193,3D0050,38.4,46,10.2,20,Titanium,TRUE,FALSE,Black,7150,47.67,500,300,770,7.15,6.95,0,0,72.24,,,,,,,FALSE,listed,Radio sync works via app with JJY emulator,2026-04-09T20:35:28.484359+00:00,2026-04-09T23:41:48.273631+00:00
408bbd38,Seiko,Brightz,8B82-0AB0,,,,,,,Titanium,TRUE,TRUE,Navy,18100,120.67,500,300,1300,18.1,18.71,0,0,171.48,,,,,,,TRUE,on_bench,Junk/non-working chronograph. Personal project.,2026-04-09T23:34:41.775410+00:00,2026-04-09T23:41:50.537027+00:00
d133fd04,Citizen,xC,H330-T008658,,,,,,,Stainless Steel,TRUE,TRUE,Pink Shell,6551,43.67,500,300,1060,6.55,18.35,39.9,0,120.87,,,,,,,FALSE,on_bench,Ladies watch. Awaiting replacement part.,2026-04-09T23:34:57.260561+00:00,2026-04-13T00:08:48.462473+00:00
299f1790,Seiko,Unknown,7N43-9090,,,,,,,Stainless Steel,FALSE,FALSE,Ivory,6875,45.32,500,500,990,6.8,3.52,0,0,68.76,,,,,,,FALSE,in_transit_us,Quartz day-date. Silver round case.,2026-04-12T03:16:20.041972+00:00,2026-04-13T00:09:08.026839+00:00
61a73bb1,Seiko,Brightz,7B24-0BH0,SAGZ081,,39,46,8.8,20,Titanium,TRUE,TRUE,Deep Blue,21213,141.42,500,300,1000,21.21,20.61,0,0.66,195.24,,,,,,,FALSE,listed,"Coupon applied. Original bid 23570, paid 21213.",2026-04-09T23:34:27.426711+00:00,2026-04-09T23:51:47.107557+00:00
a1b32b59,Seiko,Brightz,5B21-0AA0,SAGZ001,,38,45,9.8,20,Titanium,TRUE,TRUE,Black,9405,62.7,500,300,990,9.41,9.14,0,0,93.18,,,,,,,TRUE,on_bench,Personal piece. May flip later.,2026-04-09T23:34:18.196100+00:00,2026-04-09T23:41:48.388910+00:00
a9625aed,Seiko,Seiko 5,7S26-03S0,,,,,,,Stainless Steel,FALSE,FALSE,,9622,63.43,500,500,1010,9.51,4.92,0,0,91.11,,,,,,,FALSE,in_transit_us,Automatic.,2026-04-12T03:16:19.105484+00:00,2026-04-13T00:09:08.357073+00:00
